iter	F1	Logloss
0	0.7440559441	0.679277176
1	0.7517828387	0.6685508856
2	0.7631396157	0.655365328
3	0.7775218793	0.6437143834
4	0.7713498623	0.6325399752
5	0.7750929368	0.6222579729
6	0.7817589577	0.6092373927
7	0.788213628	0.6081568999
8	0.7861431871	0.5970171388
9	0.8012835205	0.5875393983
10	0.8034695275	0.5859814299
11	0.8018390805	0.5790817775
12	0.8336380256	0.5567379417
13	0.84406165	0.5411157572
14	0.843870383	0.5285730554
15	0.8431550317	0.5278804794
16	0.8511985527	0.5115660449
17	0.8652546192	0.491034066
18	0.8747479274	0.4704954259
19	0.8746355685	0.4659165945
20	0.8809310654	0.457526901
21	0.8962913613	0.4423135893
22	0.8985378821	0.4305077825
23	0.9053606883	0.4180516627
24	0.9081700066	0.4102023151
25	0.911558669	0.3977726104
26	0.9133099825	0.3892051258
27	0.9136612022	0.380202917
28	0.916284153	0.372239422
29	0.919650655	0.3645217104
30	0.9209322588	0.3573564371
31	0.9225398211	0.349943912
32	0.9270199826	0.34020115
33	0.9282296651	0.3350590118
34	0.9302931596	0.32582005
35	0.9322916667	0.3208610745
36	0.9340277778	0.3132985115
37	0.9354699004	0.305865893
38	0.9351771824	0.2991524893
39	0.9360967185	0.2921926727
40	0.9352890423	0.2864081349
41	0.9347404695	0.2809100443
42	0.9326157158	0.276751632
43	0.9328165375	0.2766834212
44	0.9335912315	0.2734189517
45	0.9365181838	0.2656602659
46	0.9363166954	0.2650236059
47	0.9393026259	0.2586368543
48	0.9393026259	0.258377763
49	0.943250215	0.2513779051
50	0.9441580756	0.2480579118
51	0.9466237942	0.2422434094
52	0.9464668094	0.2391940988
53	0.9471205309	0.2349762871
54	0.948630137	0.2303478941
55	0.9489927132	0.226762403
56	0.949689574	0.2219793553
57	0.9515267991	0.2176304276
58	0.9515267991	0.2163778729
59	0.9523809524	0.2135368075
60	0.9527878658	0.2124390663
61	0.9525843657	0.2091473767
62	0.9531951272	0.204961022
63	0.9531951272	0.2047792362
64	0.9538461538	0.2013270835
65	0.9533988884	0.2006220721
66	0.9532351057	0.1970273216
67	0.9532351057	0.194671729
68	0.9534387014	0.1915480594
69	0.9534387014	0.1885980835
