iter	Passed	Remaining
0	222	178132
1	253	101163
2	272	72445
3	302	60132
4	317	50472
5	350	46386
6	381	43219
7	391	38793
8	421	37026
9	451	35632
10	468	33618
11	488	32099
12	519	31433
13	551	30983
14	581	30445
15	592	29016
16	622	28658
17	652	28331
18	682	28036
19	713	27816
20	734	27239
21	753	26634
22	782	26422
23	812	26281
24	844	26177
25	875	26074
26	907	25968
27	937	25840
28	960	25540
29	990	25422
30	1024	25422
31	1061	25487
32	1089	25326
33	1120	25233
34	1150	25146
35	1180	25045
36	1209	24943
37	1240	24880
38	1270	24789
39	1299	24697
40	1329	24603
41	1360	24547
42	1390	24477
43	1400	24063
44	1417	23783
45	1441	23636
46	1487	23832
47	1507	23614
48	1519	23294
49	1548	23227
50	1579	23202
51	1610	23160
52	1642	23149
53	1675	23140
54	1706	23114
55	1737	23088
56	1768	23053
57	1794	22958
58	1823	22896
59	1853	22865
60	1884	22832
61	1915	22804
62	1944	22745
63	1959	22533
64	1989	22493
65	2015	22416
66	2042	22348
67	2069	22274
68	2099	22243
69	2129	22206
70	2159	22168
71	2188	22130
72	2219	22101
73	2248	22062
74	2279	22039
75	2308	21994
76	2338	21956
77	2368	21925
78	2400	21906
79	2431	21882
80	2445	21703
81	2476	21680
82	2508	21671
83	2538	21636
84	2569	21609
85	2600	21593
86	2631	21567
87	2662	21540
88	2691	21500
89	2721	21466
90	2751	21437
91	2767	21297
92	2798	21275
93	2831	21266
94	2862	21241
95	2888	21183
96	2897	21002
97	2927	20970
98	2955	20930
99	2985	20899
100	3016	20879
101	3035	20773
102	3065	20743
103	3098	20737
104	3129	20712
105	3157	20673
106	3188	20649
107	3219	20626
108	3249	20597
109	3279	20574
110	3310	20547
111	3341	20523
112	3370	20493
113	3399	20459
114	3431	20441
115	3464	20430
116	3496	20412
117	3528	20396
118	3544	20286
119	3575	20260
120	3607	20243
121	3638	20222
122	3669	20195
123	3697	20158
124	3714	20059
125	3743	20023
126	3762	19939
127	3792	19910
128	3821	19877
129	3852	19853
130	3881	19821
131	3907	19775
132	3923	19675
133	3952	19645
134	3977	19594
135	4008	19570
136	4018	19447
137	4048	19419
138	4077	19389
139	4108	19369
140	4141	19357
141	4169	19319
142	4199	19292
143	4228	19264
144	4259	19239
145	4289	19216
146	4321	19198
147	4352	19175
148	4382	19147
149	4410	19110
150	4439	19083
151	4473	19072
152	4505	19053
153	4537	19033
154	4568	19009
155	4597	18979
156	4628	18955
157	4657	18925
158	4688	18902
159	4768	19075
160	4801	19055
161	4832	19032
162	4880	19071
163	4911	19047
164	4942	19022
165	4973	18995
166	5004	18968
167	5036	18947
168	5068	18923
169	5079	18823
170	5108	18791
171	5137	18759
172	5165	18720
173	5196	18697
174	5215	18626
175	5244	18594
176	5260	18516
177	5289	18482
178	5319	18455
179	5350	18428
180	5363	18341
181	5391	18307
182	5422	18281
183	5456	18266
184	5487	18243
